"","Longitude","Latitude"
"1",-111.4102,49.87324
"2",-112.39699,49.08995
"3",-113.56982,49.81509
"4",-110.25869,50.74668
"5",-111.84916,50.56388
"6",-113.02852,50.60147
"7",-114.42456,50.48053
"8",-112.64694,51.77818
"9",-113.77234,51.21261
"10",-116.22023,51.46021
"11",-110.65127,52.46309
"12",-111.07638,52.20111
"13",-114.47782,52.02799
"14",-116.39168,52.25872
"15",-110.86644,53.49666
"16",-111.52556,53.71555
"17",-112.78208,53.33769
"18",-113.88548,53.68701
"19",-114.22008,53.16381
"20",-117.71063,53.3741
"21",-110.8863,54.0577
"22",-111.2782,54.26763
"23",-114.71491,54.12038
"24",-116.21592,54.13311
"25",-118.22621,54.75011
"26",-113.44,55.486
"27",-114.91416,55.49903
"28",-119.21774,55.1415
"29",-117.82119,56.27611
"30",-111.83849,59.98857
"31",-111.61484,59.86175
"32",-115.07526,50.98545
"33",-114.04528,49.0201
"34",-111.11275,50.92139
"35",-112.02041,50.30279
"36",-113.82728,50.42635
"37",-114.09345,50.54263
"38",-110.38028,51.44533
"39",-111.20079,51.57551
"40",-112.13115,51.95441
"41",-113.89621,51.56148
"42",-114.21268,51.54794
"43",-115.40694,51.66166
"44",-113.98702,52.61069
"45",-114.40959,52.5814
"46",-117.51832,52.48771
"47",-111.76012,53.10329
"48",-112.14825,53.10505
"49",-113.1229,53.11978
"50",-110.30494,54.18052
"51",-112.8288,54.43414
"52",-113.91555,54.05083
"53",-117.03659,54.36335
"54",-115.13917,50.6917
"55",-113.65683,49.26174
"56",-114.48967,49.63589
"57",-112.31428,50.16448
"58",-113.39021,50.48464
"59",-114.2469,50.51364
"60",-110.19278,51.35788
"61",-111.51697,51.76553
"62",-112.33055,51.18333
"63",-113.7321,51.4154
"64",-114.19363,52.65721
"65",-117.34166,52.98463
"66",-111.24257,53.77624
"67",-113.85339,53.3377
"68",-114.78773,53.48311
"69",-115.11754,54.03515
"70",-115.25994,54.999
"71",-111.51741,49.75642
"72",-113.78431,49.74948
"73",-110.32547,50.55749
"74",-112.99408,50.60144
"75",-113.39054,50.01932
"76",-110.91913,51.44452
"77",-111.47615,51.41613
"78",-112.04431,51.32885
"79",-114.25969,51.32922
"80",-114.40958,52.40635
"81",-113.19621,53.1343
"82",-114.48941,54.34059
"83",-114.079114,49.875772
"84",-112.17449,50.92147
"85",-111.19086,51.27059
"86",-113.21913,52.20114
"87",-114.17258,53.01772
"88",-112.01798,54.91816
"89",-110.56255,49.10149
"90",-87.6041417,34.868688
"91",-87.0592352,34.0297881
"92",-86.2030371,34.8680404
"93",-85.9258408,33.1913463
"94",-85.7511714,33.6076572
"95",-86.1153789,33.8116977
"96",-86.6010915,33.4549551
"97",-87.5888357,33.8481773
"98",-88.1712189,33.4765537
"103",-86.2754989,32.1312407
"105",-86.1307777,32.5890245
"106",-85.5530853,32.3116131
"107",-85.2044589,32.8854647
"108",-85.0626449,32.1473077
"109",-86.250378,31.5859083
"110",-86.6131969,31.4439507
"115",-87.7621469,34.1311637
"116",-86.4773569,34.3142387
"120",-85.7164607,32.5816871
"123",-85.6508719,31.6676037
"124",-87.3907904,34.4236313
"125",-85.565583,34.5810567
"128",-86.4457647,33.718519
"130",-85.8711729,32.4341515
"132",-86.270046,31.4086552
"133",-85.4115544,31.0322875
"135",-86.9887629,34.9292307
"136",-86.0671689,34.9895137
"137",-87.2543912,34.6030578
"138",-86.4734413,34.2126918
"139",-85.9323092,34.3086241
"140",-85.7466579,33.6296357
"145",-86.3312989,33.2905307
"146",-85.450491,33.9413322
"147",-86.1117753,32.822371
"148",-86.6604516,34.8223669
"149",-85.8594579,34.7575557
"150",-88.1671198,33.6853138
"151",-86.3813006,33.8564625
"152",-86.1573541,33.3180161
"153",-85.464604,33.1844368
"155",-86.5697685,32.4860839
"156",-85.2532189,32.5033347
"158",-85.2558091,31.7296264
"160",-141.2785932,64.552796
"161",-144.0890949,65.7907167
"162",-146.727508,65.2698047
"163",-146.0769649,64.2556227
"164",-148.417832,65.5631957
"165",-143.8893879,62.7247807
"166",-143.9862892,63.6152141
"167",-141.8052529,63.0127307
"168",-146.0607299,63.0531897
"169",-147.944427,63.2771884
"170",-148.86,63.3793062
"173",-146.9948586,64.5464143
"174",-145.870208,60.4971524
"175",-145.9169019,61.0587623
"176",-144.9583298,61.7342231
"177",-147.1759823,61.937256
"178",-149.4276,61.58697
"179",-150.7868883,60.5957398
"180",-151.7956533,59.7967661
"182",-152.45,57.5333333
"183",-146.0599662,65.0544087
"184",-158.5270562,59.0346173
"185",-156.4585984,58.6704647
"186",-146.515638,62.2317426
"189",-152.6177,57.8128265
"190",-150.2366378,62.3172987
"191",-150.5656383,60.5259627
"192",-151.560698,59.6464107
"193",-149.71492,67.6695397
"194",-149.842437,61.4001417
"195",-165.3122783,64.4875219
"196",-150.6324337,66.4417734
"197",-150.29011,67.0166107
"198",-145.7282965,64.0157146
"199",-149.3473217,68.4265923
"200",-148.8351789,68.8572136
"202",-150.6131749,65.0076556
"203",-148.65472,65.4883997
"204",-142.3235417,63.6093407
"205",-165.9993285,64.7776327
"206",-155.523896,64.4609377
"207",-165.3015102,64.61589
"209",-163.1690916,62.0526113
"210",-166.0880717,64.8314753
"213",-155.6186013,62.9117822
"214",-145.3482303,60.4652137
"250",-92.6974039,33.5907857
"252",-93.6694105,33.6627163
"253",-94.1229479,33.6969877
"254",-90.5065699,34.9269397
"255",-91.4995419,34.0487397
"256",-93.2513959,34.0344927
"257",-94.0440279,34.9704407
"258",-91.3426352,35.9114603
"259",-92.7182699,35.6330837
"260",-92.1956399,35.5702167
"261",-93.6640897,35.4263985
"262",-93.0696409,35.7806777
"263",-94.3318236,35.3514159
"264",-90.9236529,36.4436877
"265",-91.7354059,36.0989147
"266",-92.1148009,36.4061087
"267",-93.2802279,36.1206137
"268",-94.1100149,36.4053037
"269",-94.303299,36.329802
"270",-93.472462,36.394077
"271",-91.22905,36.313763
"272",-90.000225,35.901224
"273",-91.658032,35.373736
"274",-92.442323,35.939336
"275",-93.68179,35.075027
"276",-93.689266,34.65949
"277",-92.001796,34.559183
"278",-91.573969,34.13829
"279",-94.006856,33.782848
"280",-92.967494,33.454572
"281",-91.220963,33.796907
"282",-94.344402,35.615095
"283",-92.5894309,33.9394687
"284",-91.7077371,34.7008083
"285",-92.8007333,34.7023815
"286",-92.633333,34.35
"287",-90.2867129,35.5182227
"288",-91.3577331,35.3146835
"289",-132.91063,60.23361
"290",-135.29369,61.10043
"291",-136.98192,61.19712
"292",-140.56152,61.98868
"293",-135.89342,63.59103
"294",-136.61448,63.39463
"295",-138.751,63.99044
"296",-136.71056,66.44292
"297",-133.29451,60.48948
"298",-139.22398,61.43374
"299",-138.363,64.73316
"300",-137.05841,60.3721
"301",-78.4653682,39.060195
"302",-79.4594489,38.2891547
"303",-79.1647743,38.1909534
"304",-78.5051729,38.5758867
"305",-78.1721466,38.4538015
"306",-77.2184791,38.1740529
"307",-77.5897828,38.6248921
"308",-82.4750989,37.2138017
"309",-81.9476239,37.0178877
"310",-79.873929,37.4881381
"311",-79.2990119,37.5332587
"312",-78.5422838,37.9095168
"313",-78.7872126,37.7014449
"314",-78.9826802,37.3326887
"315",-77.8218239,37.9811797
